datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2017-11-14 17:00:00,26.0,8.0,26.0,0.4,27.0,54.0,4.0,11,4,17,fall,4.78454589844,-11.6307201385,-16.3295898438,101957.335938,-28.3499908447,-10.666635513300001,-10.5998601913,25.6746864319,17.355739593499997,33.5391311646,0.954433560371,-53.049987793,-1.5671582222,-11.67573452,5.77038574219,9.699999809269999,46.792049408000004,-21.235290527300002
2017-11-14 20:00:00,33.0,14.0,33.0,0.5,43.0,14.0,2.0,11,4,20,fall,2.72946166992,-11.0581150055,-16.792907714800002,102024.171875,-28.8499603271,-10.6237888336,-12.6999578476,24.9647045135,16.9463100433,31.799030304000002,-0.259143054485,-52.64999389649999,-0.170388177037,-10.1544237137,4.7922363281199996,9.0,47.3949356079,-21.6499938965
2017-11-14 23:00:00,52.0,19.0,53.0,0.9,58.0,3.0,4.0,11,4,23,fall,1.69998168945,-11.6945333481,-16.949798584,102021.242188,-29.0500183105,-11.6167917252,-15.0358457565,24.1646633148,17.2551651001,30.218622207600003,0.9630419611929999,-53.2499847412,0.8506640195849999,-10.8660545349,3.36318969727,13.600000381500001,46.10000610350001,-21.098861694300002
2017-11-15 02:00:00,52.0,23.0,54.0,0.6,55.0,3.0,3.0,11,4,2,fall,0.5048828125,-12.5469379425,-16.8500061035,102059.75,-28.7500152588,-14.6147212982,-17.7458133698,23.6653652191,17.5306568146,30.718038559,0.0715502947569,-54.1940307617,-0.888059079647,-10.6427755356,2.45086669922,18.0,46.9922142029,-21.0552825928
2017-11-15 05:00:00,21.0,,21.0,0.3,18.0,45.0,1.0,11,4,5,fall,0.05172729492190001,-14.9737005234,-16.5500183105,102215.570312,-27.6499938965,-18.474252700799997,-18.0999946594,23.592905044600002,17.5215797424,32.1099205017,-1.4941893816,-55.8499908447,-3.0829539299,-13.223732948299999,1.2297668457,14.600000381500001,48.4057922363,-20.3628540039
2017-11-15 08:00:00,50.0,15.0,50.0,0.5,53.0,17.0,3.0,11,4,8,fall,0.916351318359,-15.6516084671,-15.75,102306.828125,-27.099182128899997,-18.1426696777,-18.4000606537,23.189960479699998,16.3364524841,31.4172401428,-2.14760255814,-56.449996948199995,-3.99294424057,-14.002236366300002,1.03405761719,15.300000190699999,45.563709259,-19.6440124512
2017-11-15 11:00:00,30.0,10.0,30.0,0.5,29.0,47.0,3.0,11,4,11,fall,4.76611328125,-14.623234748800002,-13.822052002000001,102310.898438,-26.6500091553,-16.5199222565,-19.099981308,21.8310184479,14.9997310638,30.026763916,1.0297460556,-57.049987793,-3.83507061005,-13.9848871231,3.2435302734400002,12.4000005722,42.9489784241,-18.6146697998
2017-11-15 14:00:00,24.0,8.0,24.0,0.4,19.0,60.0,1.0,11,4,14,fall,6.57000732422,-12.5110034943,-12.5819091797,102095.039062,-25.7500152588,-13.6248674393,-18.6850776672,22.5652236938,15.7362766266,29.8325538635,0.877221643925,-56.9500427246,-0.49127197265600003,-13.1105957031,5.22741699219,10.9000005722,41.5661354065,-17.7987213135
2017-11-15 17:00:00,33.0,13.0,33.0,0.4,38.0,37.0,1.0,11,4,17,fall,4.2536926269499995,-9.48526382446,-12.077484130899999,102057.242188,-25.1499938965,-10.5844526291,-19.3056087494,23.507209777800004,15.092792510999999,29.888488769499997,-0.372128903866,-56.5500183105,2.2050976753200002,-9.70531749725,5.06002807617,13.800000190699999,42.3285827637,-17.2499847412
2017-11-15 20:00:00,40.0,15.0,40.0,0.7,55.0,8.0,7.0,11,4,20,fall,2.21041870117,-8.16562747955,-12.1787109375,102151.492188,-25.0500183105,-10.8235931396,-18.5467834473,23.951965331999997,13.8481903076,29.538402557399998,-1.48108398914,-55.8500213623,1.67137813568,-4.63147449493,3.04977416992,16.3999996185,43.918159484899995,-17.2411956787
