aqi,aqi_last,tmp,tmp_last,v850,v850_last,t925,t925_last,p,p_last,t750,t750_last,v750,v750_last,v500,v500_last,u850,u850_last,u925,u925_last,u750,u750_last,u,u_last,t500,t500_last,v,v_last,v925,v925_last,t995,t995_last,rh,rh_last,u500,u500_last,t850,t850_last,season_fall,season_spring,season_summer,season_winter,t_diff,t_diff_last
117.0,102.0,22.45,16.25,-2.55,-3.35,2.75,2.65002,100644.0,100618.0,-11.75,-12.15,-6.1,-5.08,-13.6,-8.2,-0.9,-1.65,-1.66,-1.37,1.61,0.91,-1.14,-1.93,-50.85,-49.95,-0.04,-0.35,-2.77,-1.75,20.35,17.25,57.4,81.0,1.5,7.9,-4.14999,-4.44998,0,0,1,0,2.099999999999998,-1.0
155.0,117.0,29.05,22.45,-3.62,-2.55,3.65002,2.75,100466.0,100644.0,-11.05,-11.75,-5.03,-6.1,-13.9,-13.6,0.6,-0.9,-3.17,-1.66,3.13,1.61,1.03,-1.14,-50.95,-50.85,1.37,-0.04,-1.95,-2.77,26.14,20.35,35.1,57.4,3.0,1.5,-3.4499800000000005,-4.14999,0,0,1,0,2.91,2.099999999999998
163.0,155.0,31.15,29.05,-4.96,-3.62,4.85001,3.65002,100334.0,100466.0,-10.25,-11.05,-5.1,-5.03,-10.1,-13.9,0.32,0.6,-3.8,-3.17,4.27,3.13,2.07,1.03,-50.35,-50.95,2.24,1.37,-2.19,-1.95,28.85,26.14,26.8,35.1,8.4,3.0,-3.54999,-3.4499800000000005,0,0,1,0,2.299999999999997,2.91
173.0,163.0,32.35,31.15,-6.14,-4.96,4.95001,4.85001,100181.0,100334.0,-10.25,-10.25,-4.6,-5.1,-5.6,-10.1,0.71,0.32,-2.1,-3.8,5.29,4.27,1.85,2.07,-49.75,-50.35,2.22,2.24,-2.67,-2.19,30.75,28.85,21.1,26.8,13.6,8.4,-3.4499800000000005,-3.54999,0,0,1,0,1.6000000000000014,2.299999999999997
158.0,173.0,23.85,32.35,-5.53,-6.14,4.15002,4.95001,100327.0,100181.0,-10.75,-10.25,-2.5,-4.6,-1.5,-5.6,0.63,0.71,-0.05,-2.1,7.15,5.29,0.0,1.85,-49.35,-49.75,1.38,2.22,-5.91,-2.67,28.15,30.75,39.6,21.1,16.7,13.6,-3.75,-3.4499800000000005,0,0,1,0,-4.299999999999997,1.6000000000000014
94.0,158.0,22.95,23.85,-2.33,-5.53,3.65002,4.15002,100546.0,100327.0,-12.15,-10.75,-1.4,-2.5,-0.5,-1.5,2.05,0.63,2.03,-0.05,8.23,7.15,-1.24,0.0,-49.55,-49.35,-2.32,1.38,-2.09,-5.91,24.65,28.15,47.1,39.6,17.1,16.7,-3.64999,-3.75,0,0,1,0,-1.6999999999999993,-4.299999999999997
100.0,94.0,20.05,22.95,-1.44,-2.33,3.5500199999999995,3.65002,100736.0,100546.0,-12.25,-12.15,-0.9,-1.4,0.8,-0.5,4.22,2.05,3.59,2.03,8.37,8.23,-3.13,-1.24,-50.35,-49.55,-0.22,-2.32,-2.96,-2.09,19.95,24.65,74.2,47.1,17.4,17.1,-4.34998,-3.64999,0,0,1,0,0.10000000000000142,-1.6999999999999993
79.0,100.0,18.75,20.05,-1.65,-1.44,2.95001,3.5500199999999995,100806.0,100736.0,-12.95,-12.25,-2.3,-0.9,0.1,0.8,3.0,4.22,2.17,3.59,7.3,8.37,-1.51,-3.13,-50.75,-50.35,0.13,-0.22,-2.75,-2.96,18.45,19.95,72.6,74.2,21.0,17.4,-4.75,-4.34998,0,0,1,0,0.3000000000000007,0.10000000000000142
54.0,79.0,17.85,18.75,-6.25,-1.65,3.25,2.95001,100904.0,100806.0,-12.85,-12.95,-0.4,-2.3,-0.8,0.1,2.22,3.0,2.24,2.17,9.02,7.3,-1.57,-1.51,-51.25,-50.75,0.35,0.13,-3.31,-2.75,17.07,18.45,74.8,72.6,25.6,21.0,-5.25,-4.75,0,0,1,0,0.7800000000000011,0.3000000000000007
69.0,54.0,21.75,17.85,-6.06,-6.25,3.35001,3.25,100801.0,100904.0,-13.05,-12.85,-7.7,-0.4,2.3,-0.8,2.72,2.22,3.01,2.24,7.72,9.02,0.31,-1.57,-50.85,-51.25,1.87,0.35,-2.49,-3.31,20.44,17.07,59.3,74.8,28.4,25.6,-4.34998,-5.25,0,0,1,0,1.3099999999999987,0.7800000000000011
88.0,69.0,25.05,21.75,-6.69,-6.06,3.5500199999999995,3.35001,100693.0,100801.0,-12.75,-13.05,-8.69,-7.7,3.2,2.3,5.07,2.72,3.8,3.01,10.18,7.72,0.3,0.31,-50.05,-50.85,2.28,1.87,-5.94,-2.49,22.75,20.44,46.5,59.3,31.7,28.4,-3.75,-4.34998,0,0,1,0,2.3000000000000007,1.3099999999999987
97.0,88.0,26.95,25.05,-7.15,-6.69,4.45001,3.5500199999999995,100466.0,100693.0,-12.65,-12.75,-8.54,-8.69,0.6,3.2,5.66,5.07,2.61,3.8,9.85,10.18,1.39,0.3,-50.35,-50.05,2.43,2.28,-6.59,-5.94,25.15,22.75,40.6,46.5,29.1,31.7,-3.4499800000000005,-3.75,0,0,1,0,1.8000000000000007,2.3000000000000007
99.0,97.0,21.75,26.95,-6.81,-7.15,3.65002,4.45001,100498.0,100466.0,-13.05,-12.65,-8.77,-8.54,-4.5,0.6,3.91,5.66,0.54,2.61,7.22,9.85,0.78,1.39,-50.55,-50.35,2.18,2.43,-9.07,-6.59,23.05,25.15,60.1,40.6,22.4,29.1,-3.54999,-3.4499800000000005,0,0,1,0,-1.3000000000000007,1.8000000000000007
118.0,99.0,19.75,21.75,-5.21,-6.81,3.5500199999999995,3.65002,100547.0,100498.0,-13.05,-13.05,-7.51,-8.77,-10.9,-4.5,0.67,3.91,-0.89,0.54,5.72,7.22,1.12,0.78,-51.15,-50.55,3.19,2.18,-8.05,-9.07,20.45,23.05,68.9,60.1,20.5,22.4,-4.04999,-3.54999,0,0,1,0,-0.6999999999999993,-1.3000000000000007
118.0,118.0,18.15,19.75,-4.9,-5.21,3.5500199999999995,3.5500199999999995,100537.0,100547.0,-13.25,-13.05,-6.19,-7.51,-8.7,-10.9,1.85,0.67,-0.02,-0.89,6.77,5.72,1.41,1.12,-51.85,-51.15,2.02,3.19,-6.25,-8.05,18.95,20.45,76.2,68.9,21.1,20.5,-4.84998,-4.04999,0,0,1,0,-0.8000000000000007,-0.6999999999999993
143.0,118.0,17.25,18.15,-5.65,-4.9,3.65002,3.5500199999999995,100474.0,100537.0,-13.85,-13.25,-6.16,-6.19,-7.6,-8.7,1.97,1.85,-1.26,-0.02,7.14,6.77,1.53,1.41,-52.05,-51.85,1.51,2.02,-6.18,-6.25,18.85,18.95,81.7,76.2,22.3,21.1,-5.25,-4.84998,0,0,1,0,-1.6000000000000014,-0.8000000000000007
223.0,143.0,23.45,17.25,-5.36,-5.65,3.65002,3.65002,100522.0,100474.0,-14.25,-13.85,-6.18,-6.16,-4.5,-7.6,-0.09,1.97,-0.24,-1.26,5.97,7.14,0.12,1.53,-52.25,-52.05,0.33,1.51,-5.47,-6.18,21.25,18.85,59.8,81.7,23.4,22.3,-5.94998,-5.25,0,0,1,0,2.1999999999999993,-1.6000000000000014
169.0,223.0,29.35,23.45,-4.97,-5.36,3.85001,3.65002,100353.0,100522.0,-14.05,-14.25,-6.7,-6.18,-4.7,-4.5,1.1,-0.09,0.44,-0.24,5.9,5.97,0.89,0.12,-52.25,-52.25,1.3,0.33,-4.68,-5.47,26.55,21.25,39.4,59.8,21.5,23.4,-5.94998,-5.94998,0,0,1,0,2.8000000000000007,2.1999999999999993
150.0,169.0,30.15,29.35,-5.18,-4.97,4.45001,3.85001,100308.0,100353.0,-13.85,-14.05,-7.3,-6.7,-10.0,-4.7,2.94,1.1,2.17,0.44,5.85,5.9,1.81,0.89,-52.55,-52.25,2.22,1.3,-4.14,-4.68,27.95,26.55,38.1,39.4,17.3,21.5,-5.34998,-5.94998,0,0,1,0,2.1999999999999993,2.8000000000000007
173.0,150.0,32.45,30.15,-6.18,-5.18,4.75,4.45001,100111.0,100308.0,-13.45,-13.85,-8.1,-7.3,-16.3,-10.0,3.18,2.94,2.29,2.17,5.77,5.85,1.85,1.81,-52.75,-52.55,3.46,2.22,-3.88,-4.14,30.55,27.95,27.0,38.1,8.1,17.3,-4.64999,-5.34998,0,0,1,0,1.9000000000000021,2.1999999999999993
264.0,173.0,25.45,32.45,-6.93,-6.18,5.15002,4.75,100166.0,100111.0,-13.05,-13.45,-7.3,-8.1,-22.6,-16.3,2.6,3.18,3.04,2.29,5.33,5.77,0.24,1.85,-52.45,-52.75,2.25,3.46,-3.78,-3.88,27.35,30.55,45.6,27.0,0.9,8.1,-4.75,-4.64999,0,0,1,0,-1.9000000000000021,1.9000000000000021
246.0,264.0,23.15,25.45,-3.34,-6.93,5.55002,5.15002,100222.0,100166.0,-12.85,-13.05,-4.7,-7.3,-17.9,-22.6,1.05,2.6,1.76,3.04,5.14,5.33,-1.31,0.24,-52.65,-52.45,3.06,2.25,-0.98,-3.78,24.25,27.35,52.5,45.6,6.1,0.9,-4.25,-4.75,0,0,1,0,-1.1000000000000014,-1.9000000000000021
227.0,246.0,21.05,23.15,0.6,-3.34,5.55002,5.55002,100281.0,100222.0,-12.15,-12.85,-3.4,-4.7,-15.0,-17.9,3.13,1.05,3.38,1.76,8.25,5.14,-1.03,-1.31,-52.05,-52.65,2.42,3.06,5.36,-0.98,22.05,24.25,53.7,52.5,7.0,6.1,-4.04999,-4.25,0,0,1,0,-1.0,-1.1000000000000014
195.0,227.0,18.85,21.05,2.76,0.6,5.55002,5.55002,100302.0,100281.0,-11.85,-12.15,-2.54,-3.4,-11.7,-15.0,5.76,3.13,6.0,3.38,8.58,8.25,-0.82,-1.03,-51.55,-52.05,1.41,2.42,6.41,5.36,21.35,22.05,59.6,53.7,9.2,7.0,-4.14999,-4.04999,0,0,1,0,-2.5,-1.0
120.0,195.0,36.35,18.85,3.92,2.76,5.75,5.55002,99792.8,100302.0,-10.55,-11.85,3.98,-2.54,0.5,-11.7,8.78,5.76,5.99,6.0,13.78,8.58,3.19,-0.82,-50.55,-51.55,8.34,1.41,9.57,6.41,33.95,21.35,15.4,59.6,20.2,9.2,-2.04999,-4.14999,0,0,1,0,2.3999999999999986,-2.5
74.0,120.0,35.35,36.35,3.04,3.92,5.95001,5.75,99629.7,99792.8,-10.75,-10.55,3.25,3.98,-5.7,0.5,10.86,8.78,7.79,5.99,14.91,13.78,2.84,3.19,-49.45,-50.55,8.46,8.34,7.68,9.57,33.95,33.95,17.4,15.4,20.3,20.2,-1.64999,-2.04999,0,0,1,0,1.3999999999999986,2.3999999999999986
