datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-12 17:00:00,21.63,-4.06,16.45,101488.0,3.35001,-9.31,-8.39,6.02,5.05,3.72,2.53,-15.35,1.57,0.11,22.89,22.8,2.01,9.95001
2015-10-12 20:00:00,18.35,-7.86,17.35,101466.0,4.15002,-9.32,-7.62,6.07,7.22,1.49,3.75,-15.25,4.01,0.52,19.87,23.9,2.22,11.45
2015-10-12 23:00:00,16.55,-7.57,17.85,101546.0,4.75,-5.86,-6.88,4.73,6.3,1.79,3.61,-15.05,1.37,-2.59,18.65,26.8,2.03,11.85
2015-10-13 02:00:00,13.15,-5.7,16.95,101617.0,4.35001,-3.07,-4.21,3.0,2.79,2.96,0.84,-14.85,-1.05,-4.14,17.83,32.0,2.11,11.25
2015-10-13 05:00:00,12.85,-4.84,16.45,101615.0,4.15002,-3.28,-2.8,2.76,2.71,4.38,0.45,-14.65,-2.25,-5.37,16.82,30.6,2.31,11.25
2015-10-13 08:00:00,16.68,-3.97,16.45,101729.0,4.25,-2.73,0.27,3.09,3.28,5.44,1.09,-14.45,-3.55,-6.64,16.41,26.7,4.42,11.55
2015-10-13 11:00:00,23.03,-1.9,16.35,101642.0,4.75,-1.81,1.46,3.54,2.3,4.76,0.5,-14.55,-1.78,-4.02,21.71,18.0,6.43,11.85
2015-10-13 14:00:00,25.73,0.76,17.35,101434.0,5.35001,-1.12,0.2,4.53,1.58,3.85,0.45,-14.75,1.47,1.36,24.76,14.2,9.78,12.05
2015-10-13 17:00:00,22.89,1.45,17.65,101339.0,5.85001,-0.28,-1.42,3.27,2.28,3.42,1.26,-14.85,3.14,4.48,23.99,19.9,7.72,12.25
2015-10-13 20:00:00,19.65,3.02,17.65,101342.0,6.05002,1.18,-0.83,1.79,4.14,1.78,2.39,-14.85,3.42,6.31,21.58,22.7,4.81,12.35
2015-10-13 23:00:00,17.35,4.06,17.65,101363.0,5.15002,3.06,4.49,3.98,4.74,3.8,0.5,-15.45,1.83,4.09,20.67,28.5,2.22,12.25
2015-10-14 02:00:00,16.15,3.76,17.45,101355.0,4.65002,1.23,8.9,5.91,1.98,4.96,-3.64,-16.85,0.6,3.87,16.86,38.1,0.71,12.35
2015-10-14 05:00:00,14.45,3.38,16.65,101298.0,4.85001,1.31,11.73,4.39,1.03,3.74,-2.66,-17.05,-2.32,1.63,14.71,56.8,5.01,12.25
2015-10-14 08:00:00,15.08,1.3,16.35,101355.0,3.75,1.11,8.39,6.08,2.48,4.86,-2.17,-18.65,-1.57,-0.21,14.24,66.8,1.11,11.95
2015-10-14 11:00:00,20.12,1.67,16.25,101329.0,3.15002,4.43,6.8,3.98,1.18,4.57,-1.2,-19.85,-0.12,-0.15,18.6,43.6,4.25,11.55
2015-10-14 14:00:00,23.15,2.17,16.75,101137.0,2.95001,4.55,5.12,2.54,0.94,4.35,-0.81,-20.35,1.02,0.74,22.2,30.9,2.84,11.65
2015-10-14 17:00:00,21.05,2.03,17.05,101071.0,2.65002,0.67,1.83,1.33,0.57,3.76,-0.16,-20.35,0.61,2.63,23.12,40.4,1.96,11.55
2015-10-14 20:00:00,16.45,0.0,16.75,101171.0,2.35001,-3.01,-2.16,1.01,1.99,1.73,0.46,-20.45,0.49,2.48,22.05,43.5,1.02,10.85
2015-10-14 23:00:00,15.25,-2.47,16.65,101224.0,2.75,-3.92,-7.54,1.24,1.57,-0.15,0.8,-19.55,0.43,-0.07,20.99,46.3,2.51,11.15
2015-10-15 02:00:00,13.75,-4.05,16.75,101176.0,2.85001,-5.33,-6.76,1.2,1.72,-0.88,-0.16,-18.55,0.37,-2.06,20.08,51.3,6.68,11.35
2015-10-15 05:00:00,12.65,-5.03,16.55,101186.0,3.15002,-6.03,-10.18,1.58,2.4,-0.12,0.67,-17.95,-0.13,-2.75,19.46,51.7,0.75,11.55
2015-10-15 08:00:00,17.24,-5.2,15.45,101352.0,3.25,-5.89,-11.33,2.71,2.29,1.03,0.24,-18.45,-0.9,-2.73,16.79,41.1,-0.67,11.35
2015-10-15 11:00:00,21.9,-5.12,15.75,101308.0,3.75,-5.2,-10.03,3.28,3.35,2.81,-0.2,-17.75,-0.33,-2.88,20.66,28.0,0.31,11.75
2015-10-15 14:00:00,24.71,-3.77,16.55,101177.0,4.25,-6.4,-8.87,3.05,1.98,3.63,0.39,-17.85,2.57,0.98,23.52,23.5,2.42,12.75
2015-10-15 17:00:00,22.55,-2.35,17.65,101119.0,4.95001,-4.81,-10.04,3.69,2.94,3.73,1.08,-16.65,2.5,1.51,23.52,29.5,3.37,13.05
2015-10-15 20:00:00,19.35,-2.05,18.25,101245.0,4.95001,-4.29,-9.7,4.38,4.61,2.68,2.79,-15.45,3.1,2.26,20.88,33.7,3.02,13.05
2015-10-15 23:00:00,17.85,-0.77,18.45,101315.0,5.25,-1.99,-9.99,3.51,4.81,3.61,2.48,-14.55,2.37,1.53,19.85,34.7,4.34,13.15
2015-10-16 02:00:00,16.25,0.38,18.25,101298.0,5.25,1.06,-8.09,2.8,4.68,3.12,1.95,-13.95,2.28,1.43,18.56,36.2,4.43,13.55
2015-10-16 05:00:00,14.55,1.53,17.75,101305.0,5.15002,2.9,-7.08,3.98,4.65,4.6,1.16,-13.55,1.78,1.33,17.97,41.2,5.39,13.15
2015-10-16 08:00:00,16.15,4.28,16.65,101499.0,4.75,4.22,-6.56,6.64,4.01,6.01,-0.62,-13.95,0.39,2.65,15.69,43.0,5.1,13.05
